POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs
1,NicholasPooran,SRH,Dubai International Cricket Stadium,08 October 2020,17,7,5,77
2,SanjuSamson,CSK,Sharjah Cricket Stadium,22 September 2020,19,9,1,74
3,KieronPollard,RCB,Dubai International Cricket Stadium,28 September 2020,20,5,3,60
4,HardikPandya,RR,Zayed Cricket Stadium,25 October 2020,20,7,2,60
5,MarcusStoinis,KXIP,Dubai International Cricket Stadium,20 September 2020,20,3,7,53
6,DineshKarthik,KXIP,Zayed Cricket Stadium,10 October 2020,22,2,8,58
7,ABde Villiers,RR,Dubai International Cricket Stadium,17 October 2020,22,6,1,55
8,ABde Villiers,KKR,Sharjah Cricket Stadium,12 October 2020,23,6,5,73
9,ABde Villiers,MI,Dubai International Cricket Stadium,28 September 2020,23,4,4,55
10,PriyamGarg,CSK,Dubai International Cricket Stadium,02 October 2020,23,1,6,51
11,SunilNarine,DC,Zayed Cricket Stadium,24 October 2020,24,4,6,64
12,MarcusStoinis,RCB,Dubai International Cricket Stadium,05 October 2020,24,2,6,53
13,BenStokes,KXIP,Zayed Cricket Stadium,30 October 2020,24,3,6,50
14,Quintonde Kock,KKR,Zayed Cricket Stadium,16 October 2020,25,3,9,78
15,DavidWarner,DC,Dubai International Cricket Stadium,27 October 2020,25,2,8,66
16,ChrisGayle,KKR,Sharjah Cricket Stadium,26 October 2020,25,5,2,51
17,MayankAgarwal,RR,Sharjah Cricket Stadium,27 September 2020,26,7,10,106
18,ShreyasIyer,KKR,Sharjah Cricket Stadium,03 October 2020,26,6,7,88
19,ShikharDhawan,SRH,Zayed Cricket Stadium,08 November 2020,26,2,6,78
20,DeepakHooda,CSK,Zayed Cricket Stadium,01 November 2020,26,4,3,62
21,SteveSmith,KXIP,Sharjah Cricket Stadium,27 September 2020,26,2,7,50
22,WriddhimanSaha,DC,Dubai International Cricket Stadium,27 October 2020,27,2,12,87
23,SanjuSamson,KXIP,Sharjah Cricket Stadium,27 September 2020,27,7,4,85
24,SanjuSamson,MI,Zayed Cricket Stadium,25 October 2020,27,3,4,54
25,NicholasPooran,DC,Dubai International Cricket Stadium,20 October 2020,27,3,6,53
26,BenStokes,MI,Zayed Cricket Stadium,25 October 2020,28,3,14,107
27,ShikharDhawan,KXIP,Dubai International Cricket Stadium,20 October 2020,28,3,12,106
28,JonnyBairstow,KXIP,Dubai International Cricket Stadium,08 October 2020,28,6,7,97
29,ManishPandey,RR,Dubai International Cricket Stadium,22 October 2020,28,8,4,83
30,ShikharDhawan,CSK,Sharjah Cricket Stadium,17 October 2020,29,1,14,101
31,SuryakumarYadav,RCB,Zayed Cricket Stadium,28 October 2020,29,3,10,79
32,Fafdu Plessis,RR,Sharjah Cricket Stadium,22 September 2020,29,7,1,72
33,IshanKishan,CSK,Sharjah Cricket Stadium,23 October 2020,29,5,6,68
34,ABde Villiers,SRH,Dubai International Cricket Stadium,21 September 2020,29,2,4,51
35,DevduttPadikkal,MI,Zayed Cricket Stadium,28 October 2020,30,1,12,74
36,EoinMorgan,RR,Dubai International Cricket Stadium,01 November 2020,30,6,5,68
37,ShikharDhawan,RR,Dubai International Cricket Stadium,14 October 2020,30,2,6,57
38,SteveSmith,RCB,Dubai International Cricket Stadium,17 October 2020,30,1,6,57
39,IshanKishan,DC,Dubai International Cricket Stadium,05 November 2020,30,3,4,55
40,RahulTewatia,KXIP,Sharjah Cricket Stadium,27 September 2020,30,7,0,53
41,SuryakumarYadav,DC,Zayed Cricket Stadium,11 October 2020,30,1,6,53
42,ShaneWatson,KXIP,Dubai International Cricket Stadium,04 October 2020,31,3,11,83
43,RahulTripathi,CSK,Zayed Cricket Stadium,07 October 2020,31,3,8,81
44,AaronFinch,MI,Dubai International Cricket Stadium,28 September 2020,31,1,7,52
45,Quintonde Kock,SRH,Sharjah Cricket Stadium,04 October 2020,32,4,4,67
46,NitishRana,DC,Sharjah Cricket Stadium,03 October 2020,32,4,4,58
47,ChrisGayle,RR,Zayed Cricket Stadium,30 October 2020,33,8,6,99
48,Fafdu Plessis,KXIP,Dubai International Cricket Stadium,04 October 2020,33,1,11,87
49,SuryakumarYadav,RR,Zayed Cricket Stadium,06 October 2020,33,2,11,79
50,AmbatiRayudu,MI,Zayed Cricket Stadium,19 September 2020,33,3,6,71
51,MayankAgarwal,KKR,Zayed Cricket Stadium,10 October 2020,33,1,6,56
52,Quintonde Kock,DC,Zayed Cricket Stadium,11 October 2020,33,3,4,53
53,JosButtler,MI,Zayed Cricket Stadium,06 October 2020,34,5,4,70
54,DevduttPadikkal,RR,Zayed Cricket Stadium,03 October 2020,34,1,6,63
55,DavidWarner,MI,Sharjah Cricket Stadium,04 October 2020,34,2,5,60
56,WriddhimanSaha,MI,Sharjah Cricket Stadium,03 November 2020,34,1,7,58
57,RavindraJadeja,SRH,Dubai International Cricket Stadium,02 October 2020,34,2,5,50
58,DavidWarner,MI,Sharjah Cricket Stadium,03 November 2020,35,1,10,85
59,NitishRana,DC,Zayed Cricket Stadium,24 October 2020,35,1,13,81
60,KLRahul,MI,Dubai International Cricket Stadium,18 October 2020,35,3,7,77
61,KLRahul,RR,Sharjah Cricket Stadium,27 September 2020,35,1,7,69
62,SteveSmith,CSK,Sharjah Cricket Stadium,22 September 2020,35,4,4,69
63,KaneWilliamson,DC,Zayed Cricket Stadium,08 November 2020,35,4,5,67
64,PrithviShaw,KKR,Sharjah Cricket Stadium,03 October 2020,35,4,4,66
65,PrithviShaw,CSK,Dubai International Cricket Stadium,25 September 2020,35,1,9,64
66,RishabhPant,MI,Dubai International Cricket Stadium,10 November 2020,35,2,4,56
67,TomCurran,KKR,Dubai International Cricket Stadium,30 September 2020,35,3,2,54
68,PatCummins,MI,Zayed Cricket Stadium,16 October 2020,35,2,5,53
69,ManishPandey,KKR,Zayed Cricket Stadium,26 September 2020,35,2,3,51
70,KLRahul,RCB,Dubai International Cricket Stadium,24 September 2020,36,7,14,132
71,RohitSharma,DC,Dubai International Cricket Stadium,10 November 2020,36,4,5,68
72,MarcusStoinis,MI,Dubai International Cricket Stadium,05 November 2020,36,3,6,65
73,ShubmanGill,KXIP,Sharjah Cricket Stadium,26 October 2020,36,4,3,57
74,KaneWilliamson,CSK,Dubai International Cricket Stadium,13 October 2020,36,0,7,57
75,DevduttPadikkal,SRH,Dubai International Cricket Stadium,21 September 2020,36,0,8,56
76,ChrisGayle,RCB,Sharjah Cricket Stadium,15 October 2020,36,5,1,53
77,SuryakumarYadav,DC,Dubai International Cricket Stadium,05 November 2020,36,2,6,51
78,IshanKishan,DC,Dubai International Cricket Stadium,31 October 2020,37,3,8,72
79,RuturajGaikwad,KKR,Dubai International Cricket Stadium,29 October 2020,37,2,6,72
80,JosButtler,CSK,Zayed Cricket Stadium,19 October 2020,37,2,7,70
81,JonnyBairstow,RCB,Dubai International Cricket Stadium,21 September 2020,37,2,6,61
82,KLRahul,RCB,Sharjah Cricket Stadium,15 October 2020,37,5,1,61
83,AjinkyaRahane,RCB,Zayed Cricket Stadium,02 November 2020,37,1,5,60
84,ShikharDhawan,RCB,Zayed Cricket Stadium,02 November 2020,37,0,6,54
85,DevduttPadikkal,MI,Dubai International Cricket Stadium,28 September 2020,37,2,5,54
86,DavidWarner,KXIP,Dubai International Cricket Stadium,08 October 2020,37,1,5,52
87,RuturajGaikwad,KXIP,Zayed Cricket Stadium,01 November 2020,38,1,6,62
88,IshanKishan,RCB,Dubai International Cricket Stadium,28 September 2020,39,9,2,99
89,ViratKohli,CSK,Dubai International Cricket Stadium,10 October 2020,39,4,4,90
90,RohitSharma,KKR,Zayed Cricket Stadium,23 September 2020,39,6,3,80
91,ShikharDhawan,MI,Zayed Cricket Stadium,11 October 2020,39,1,6,69
92,Fafdu Plessis,DC,Sharjah Cricket Stadium,17 October 2020,39,2,6,58
93,ABde Villiers,SRH,Zayed Cricket Stadium,06 November 2020,39,0,5,56
94,Quintonde Kock,KXIP,Dubai International Cricket Stadium,18 October 2020,39,3,3,53
95,ShaneWatson,KKR,Zayed Cricket Stadium,07 October 2020,39,1,6,50
96,RohitSharma,KXIP,Zayed Cricket Stadium,01 October 2020,40,3,8,70
97,ShreyasIyer,MI,Dubai International Cricket Stadium,10 November 2020,40,2,6,65
98,ManishPandey,RR,Dubai International Cricket Stadium,11 October 2020,40,3,2,54
99,ShreyasIyer,RR,Dubai International Cricket Stadium,14 October 2020,40,2,3,53
100,DevduttPadikkal,DC,Zayed Cricket Stadium,02 November 2020,40,0,5,50
