POS,PLAYER,HS,BF,4s,6s,SR,Against,Venue,Match Date
1,KLRahul,132*,69,14,7,191.30,RCB,Dubai International Cricket Stadium,24 September 2020
2,BenStokes,107*,60,14,3,178.33,MI,Zayed Cricket Stadium,25 October 2020
3,ShikharDhawan,106*,61,12,3,173.77,KXIP,Dubai International Cricket Stadium,20 October 2020
4,MayankAgarwal,106,50,10,7,212.00,RR,Sharjah Cricket Stadium,27 September 2020
5,ShikharDhawan,101*,58,14,1,174.13,CSK,Sharjah Cricket Stadium,17 October 2020
6,IshanKishan,99,58,2,9,170.68,RCB,Dubai International Cricket Stadium,28 September 2020
7,ChrisGayle,99,63,6,8,157.14,RR,Zayed Cricket Stadium,30 October 2020
8,JonnyBairstow,97,55,7,6,176.36,KXIP,Dubai International Cricket Stadium,08 October 2020
9,ViratKohli,90*,52,4,4,173.07,CSK,Dubai International Cricket Stadium,10 October 2020
10,MayankAgarwal,89,60,7,4,148.33,DC,Dubai International Cricket Stadium,20 September 2020
11,ShreyasIyer,88*,38,7,6,231.57,KKR,Sharjah Cricket Stadium,03 October 2020
12,Fafdu Plessis,87*,53,11,1,164.15,KXIP,Dubai International Cricket Stadium,04 October 2020
13,WriddhimanSaha,87,45,12,2,193.33,DC,Dubai International Cricket Stadium,27 October 2020
14,NitishRana,87,61,10,4,142.62,CSK,Dubai International Cricket Stadium,29 October 2020
15,DavidWarner,85*,58,10,1,146.55,MI,Sharjah Cricket Stadium,03 November 2020
16,SanjuSamson,85,42,4,7,202.38,KXIP,Sharjah Cricket Stadium,27 September 2020
17,ManishPandey,83*,47,4,8,176.59,RR,Dubai International Cricket Stadium,22 October 2020
18,ShaneWatson,83*,53,11,3,156.60,KXIP,Dubai International Cricket Stadium,04 October 2020
19,RahulTripathi,81,51,8,3,158.82,CSK,Zayed Cricket Stadium,07 October 2020
20,NitishRana,81,53,13,1,152.83,DC,Zayed Cricket Stadium,24 October 2020
21,RohitSharma,80,54,3,6,148.14,KKR,Zayed Cricket Stadium,23 September 2020
22,SuryakumarYadav,79*,43,10,3,183.72,RCB,Zayed Cricket Stadium,28 October 2020
23,SuryakumarYadav,79*,47,11,2,168.08,RR,Zayed Cricket Stadium,06 October 2020
24,Quintonde Kock,78*,44,9,3,177.27,KKR,Zayed Cricket Stadium,16 October 2020
25,ShikharDhawan,78,50,6,2,156.00,SRH,Zayed Cricket Stadium,08 November 2020
26,NicholasPooran,77,37,5,7,208.10,SRH,Dubai International Cricket Stadium,08 October 2020
27,KLRahul,77,51,7,3,150.98,MI,Dubai International Cricket Stadium,18 October 2020
28,SanjuSamson,74,32,1,9,231.25,CSK,Sharjah Cricket Stadium,22 September 2020
29,DevduttPadikkal,74,45,12,1,164.44,MI,Zayed Cricket Stadium,28 October 2020
30,KLRahul,74,58,6,0,127.58,KKR,Zayed Cricket Stadium,10 October 2020
31,ABde Villiers,73*,33,5,6,221.21,KKR,Sharjah Cricket Stadium,12 October 2020
32,IshanKishan,72*,47,8,3,153.19,DC,Dubai International Cricket Stadium,31 October 2020
33,ViratKohli,72*,53,7,2,135.84,RR,Zayed Cricket Stadium,03 October 2020
34,Fafdu Plessis,72,37,1,7,194.59,RR,Sharjah Cricket Stadium,22 September 2020
35,RuturajGaikwad,72,53,6,2,135.84,KKR,Dubai International Cricket Stadium,29 October 2020
36,AmbatiRayudu,71,48,6,3,147.91,MI,Zayed Cricket Stadium,19 September 2020
37,JosButtler,70*,48,7,2,145.83,CSK,Zayed Cricket Stadium,19 October 2020
38,ShubmanGill,70*,62,5,2,112.90,SRH,Zayed Cricket Stadium,26 September 2020
39,JosButtler,70,44,4,5,159.09,MI,Zayed Cricket Stadium,06 October 2020
40,RohitSharma,70,45,8,3,155.55,KXIP,Zayed Cricket Stadium,01 October 2020
41,ShikharDhawan,69*,52,6,1,132.69,MI,Zayed Cricket Stadium,11 October 2020
42,SteveSmith,69,47,4,4,146.80,CSK,Sharjah Cricket Stadium,22 September 2020
43,KLRahul,69,54,7,1,127.77,RR,Sharjah Cricket Stadium,27 September 2020
44,EoinMorgan,68*,35,5,6,194.28,RR,Dubai International Cricket Stadium,01 November 2020
45,IshanKishan,68*,37,6,5,183.78,CSK,Sharjah Cricket Stadium,23 October 2020
46,RohitSharma,68,51,5,4,133.33,DC,Dubai International Cricket Stadium,10 November 2020
47,Quintonde Kock,67,39,4,4,171.79,SRH,Sharjah Cricket Stadium,04 October 2020
48,KaneWilliamson,67,45,5,4,148.88,DC,Zayed Cricket Stadium,08 November 2020
49,MandeepSingh,66*,56,8,2,117.85,KKR,Sharjah Cricket Stadium,26 October 2020
50,DavidWarner,66,34,8,2,194.11,DC,Dubai International Cricket Stadium,27 October 2020
51,PrithviShaw,66,41,4,4,160.97,KKR,Sharjah Cricket Stadium,03 October 2020
52,ShreyasIyer,65*,50,6,2,130.00,MI,Dubai International Cricket Stadium,10 November 2020
53,RuturajGaikwad,65*,51,4,3,127.45,RCB,Dubai International Cricket Stadium,25 October 2020
54,MarcusStoinis,65,46,6,3,141.30,MI,Dubai International Cricket Stadium,05 November 2020
55,SunilNarine,64,32,6,4,200.00,DC,Zayed Cricket Stadium,24 October 2020
56,PrithviShaw,64,43,9,1,148.83,CSK,Dubai International Cricket Stadium,25 September 2020
57,DevduttPadikkal,63,45,6,1,140.00,RR,Zayed Cricket Stadium,03 October 2020
58,KLRahul,63,52,7,1,121.15,CSK,Dubai International Cricket Stadium,04 October 2020
59,DeepakHooda,62*,30,3,4,206.66,CSK,Zayed Cricket Stadium,01 November 2020
60,RuturajGaikwad,62*,49,6,1,126.53,KXIP,Zayed Cricket Stadium,01 November 2020
61,KLRahul,61*,49,1,5,124.48,RCB,Sharjah Cricket Stadium,15 October 2020
62,JonnyBairstow,61,43,6,2,141.86,RCB,Dubai International Cricket Stadium,21 September 2020
63,HardikPandya,60*,21,2,7,285.71,RR,Zayed Cricket Stadium,25 October 2020
64,KieronPollard,60*,24,3,5,250.00,RCB,Dubai International Cricket Stadium,28 September 2020
65,DavidWarner,60,44,5,2,136.36,MI,Sharjah Cricket Stadium,04 October 2020
66,AjinkyaRahane,60,46,5,1,130.43,RCB,Zayed Cricket Stadium,02 November 2020
67,Fafdu Plessis,58*,44,6,0,131.81,MI,Zayed Cricket Stadium,19 September 2020
68,WriddhimanSaha,58*,45,7,1,128.88,MI,Sharjah Cricket Stadium,03 November 2020
69,DineshKarthik,58,29,8,2,200.00,KXIP,Zayed Cricket Stadium,10 October 2020
70,NitishRana,58,35,4,4,165.71,DC,Sharjah Cricket Stadium,03 October 2020
71,Fafdu Plessis,58,47,6,2,123.40,DC,Sharjah Cricket Stadium,17 October 2020
72,ShikharDhawan,57,33,6,2,172.72,RR,Dubai International Cricket Stadium,14 October 2020
73,SteveSmith,57,36,6,1,158.33,RCB,Dubai International Cricket Stadium,17 October 2020
74,KaneWilliamson,57,39,7,0,146.15,CSK,Dubai International Cricket Stadium,13 October 2020
75,ShubmanGill,57,45,3,4,126.66,KXIP,Sharjah Cricket Stadium,26 October 2020
76,ShubmanGill,57,47,5,0,121.27,KXIP,Zayed Cricket Stadium,10 October 2020
77,RishabhPant,56,38,4,2,147.36,MI,Dubai International Cricket Stadium,10 November 2020
78,MayankAgarwal,56,39,6,1,143.58,KKR,Zayed Cricket Stadium,10 October 2020
79,DevduttPadikkal,56,42,8,0,133.33,SRH,Dubai International Cricket Stadium,21 September 2020
80,ABde Villiers,56,43,5,0,130.23,SRH,Zayed Cricket Stadium,06 November 2020
81,ABde Villiers,55*,22,1,6,250.00,RR,Dubai International Cricket Stadium,17 October 2020
82,ABde Villiers,55*,24,4,4,229.16,MI,Dubai International Cricket Stadium,28 September 2020
83,IshanKishan,55*,30,4,3,183.33,DC,Dubai International Cricket Stadium,05 November 2020
84,SanjuSamson,54*,31,4,3,174.19,MI,Zayed Cricket Stadium,25 October 2020
85,TomCurran,54*,36,2,3,150.00,KKR,Dubai International Cricket Stadium,30 September 2020
86,DevduttPadikkal,54,40,5,2,135.00,MI,Dubai International Cricket Stadium,28 September 2020
87,ShikharDhawan,54,41,6,0,131.70,RCB,Zayed Cricket Stadium,02 November 2020
88,ManishPandey,54,44,2,3,122.72,RR,Dubai International Cricket Stadium,11 October 2020
89,MarcusStoinis,53*,26,6,2,203.84,RCB,Dubai International Cricket Stadium,05 October 2020
90,PatCummins,53*,36,5,2,147.22,MI,Zayed Cricket Stadium,16 October 2020
91,MarcusStoinis,53,21,7,3,252.38,KXIP,Dubai International Cricket Stadium,20 September 2020
92,NicholasPooran,53,28,6,3,189.28,DC,Dubai International Cricket Stadium,20 October 2020
93,RahulTewatia,53,31,0,7,170.96,KXIP,Sharjah Cricket Stadium,27 September 2020
94,SuryakumarYadav,53,32,6,1,165.62,DC,Zayed Cricket Stadium,11 October 2020
95,Quintonde Kock,53,36,4,3,147.22,DC,Zayed Cricket Stadium,11 October 2020
96,Quintonde Kock,53,43,3,3,123.25,KXIP,Dubai International Cricket Stadium,18 October 2020
97,ShreyasIyer,53,43,3,2,123.25,RR,Dubai International Cricket Stadium,14 October 2020
98,ChrisGayle,53,45,1,5,117.77,RCB,Sharjah Cricket Stadium,15 October 2020
99,JonnyBairstow,53,48,2,1,110.41,DC,Zayed Cricket Stadium,29 September 2020
100,VijayShankar,52*,51,6,0,101.96,RR,Dubai International Cricket Stadium,22 October 2020
